Timestamp;FPS;CPU;RAM;GPU;VRAM;Running Models
1713954383.588566;0;0.00;0.5;0.0;0.0;
1713954383.6050808;0;0.00;0.5;0.0;0.0;
1713954383.6215854;0;0.00;0.5;0.0;0.0;
1713954383.6360905;0;0.00;0.5;0.0;0.0;
1713954383.654183;0;0.00;0.5;0.0;0.0;
1713954383.6680179;0;0.00;0.5;0.0;0.0;
1713954383.6836376;0;0.00;0.5;0.0;0.0;
1713954383.70081;0;0.00;0.5;0.0;0.0;
1713954383.7130241;0;0.00;0.5;0.0;0.0;
1713954383.7296364;0;0.00;0.5;0.0;0.0;
1713954383.745299;0;0.00;0.5;0.0;0.0;
1713954383.7608836;0;0.00;0.5;0.0;0.0;
1713954383.7751071;0;1.70;0.5;0.0;0.0;
1713954383.7906349;0;0.00;0.5;0.0;0.0;
1713954383.8076863;0;0.00;0.5;0.0;0.0;
1713954383.822688;0;4.30;0.5;0.0;0.0;
1713954383.838758;0;0.00;0.5;0.0;0.0;
1713954383.8544714;0;2.20;0.5;0.0;0.0;
1713954383.8701699;0;4.20;0.5;0.0;0.0;
1713954383.8860798;0;0.00;0.5;0.0;0.0;
1713954383.9005213;0;0.00;0.5;0.0;0.0;
1713954383.9151385;0;0.00;0.5;0.0;0.0;
1713954383.9312186;0;0.00;0.5;0.0;0.0;
1713954383.9473493;0;0.00;0.5;0.0;0.0;
1713954383.9643533;0;0.00;0.5;0.0;0.0;
1713954383.9780066;0;0.00;0.5;0.0;0.0;
1713954383.99372;0;0.00;0.5;0.0;0.0;
1713954384.009721;0;0.00;0.5;0.0;0.0;
1713954384.0287335;0;0.00;0.5;0.0;0.0;
1713954384.0404482;0;0.00;0.5;0.0;0.0;
1713954384.0556211;0;0.00;0.5;0.0;0.0;
1713954384.0714781;0;0.00;0.5;0.0;0.0;
1713954384.0876744;0;0.00;0.5;0.0;0.0;
1713954384.1036475;0;0.00;0.5;0.0;0.0;
1713954384.118439;0;0.00;0.5;0.0;0.0;
1713954384.1344638;0;0.00;0.5;0.0;0.0;
1713954384.1495996;0;0.00;0.5;0.0;0.0;
