Timestamp;FPS;CPU;RAM;GPU;VRAM;Running Models
1713954290.1752012;0.0;7.10;0.9;0.0;0.0;Yolo V8
1713954290.1913137;0.0;0.00;0.9;0.0;0.0;Yolo V8
1713954290.2083154;0.0;0.00;0.9;0.0;0.0;Yolo V8
1713954290.2237456;0.0;0.00;0.9;0.0;0.0;Yolo V8,Fast SAM
1713954290.2395666;0.0;0.00;0.9;0.0;0.0;Yolo V8,Fast SAM
1713954290.2545798;0.0;0.00;0.9;0.0;0.0;Yolo V8,Fast SAM
1713954290.2710998;0.0;0.00;0.9;0.0;0.0;Yolo V8,Fast SAM
1713954290.2864685;0.0;0.00;0.9;0.0;0.0;Yolo V8,Fast SAM
1713954290.3024669;0.0;25.00;0.9;0.0;0.0;Yolo V8,Fast SAM
1713954290.3184679;0.0;2.30;0.9;0.0;0.0;Yolo V8,Fast SAM
1713954290.3334665;0.0;11.10;0.9;0.0;0.0;Yolo V8,Fast SAM
1713954290.349469;0.0;4.50;0.9;0.0;0.0;Yolo V8,Fast SAM
1713954290.3654666;0.0;4.30;0.9;0.0;0.0;Yolo V8,Fast SAM
1713954290.3824697;0.0;2.90;0.9;0.0;0.0;Yolo V8,Fast SAM
1713954290.398015;0.0;4.20;0.9;0.0;0.0;Yolo V8,Fast SAM
1713954290.4129725;0.0;0.00;0.9;0.0;0.0;Yolo V8,Fast SAM
1713954290.4299736;0.0;12.10;0.9;0.0;0.0;Yolo V8,Fast SAM
1713954290.4444666;0.0;0.00;0.9;0.0;0.0;Yolo V8,Fast SAM
1713954290.4604707;0.0;0.00;0.9;0.0;0.0;Yolo V8,Fast SAM
1713954290.4746575;0.0;0.00;0.9;0.0;0.0;Yolo V8,Fast SAM
1713954290.489801;0.0;0.00;0.9;0.0;0.0;Yolo V8,Fast SAM
1713954290.5058417;0.0;0.00;0.9;0.0;0.0;Yolo V8,Fast SAM
1713954290.522469;0.0;0.00;0.9;0.0;0.0;Yolo V8,Fast SAM
1713954290.53751;0.0;4.80;0.9;0.0;0.0;Yolo V8,Fast SAM
1713954290.5529435;0.0;0.00;0.9;0.0;0.0;Yolo V8,Fast SAM
1713954290.5679443;0.0;0.00;0.9;0.0;0.0;Yolo V8,Fast SAM
1713954290.5839543;0.0;0.00;0.9;0.0;0.0;Yolo V8,Fast SAM
1713954290.6009877;0.0;0.00;0.9;0.0;0.0;Yolo V8,Fast SAM
1713954290.616988;0.0;0.00;0.9;0.0;0.0;Yolo V8,Fast SAM
1713954290.631637;0.0;0.00;0.9;0.0;0.0;Yolo V8,Fast SAM
