Timestamp;FPS;CPU;RAM;GPU;VRAM;Running Models
1713954335.3139389;0;0.00;0.5;0.0;0.0;
1713954335.3291073;0;1.90;0.5;0.0;0.0;
1713954335.3469863;0;0.00;0.5;1.0;0.0;
1713954335.3613062;0;0.00;0.5;1.0;0.0;
1713954335.3768668;0;0.00;0.5;1.0;0.0;
1713954335.3912175;0;0.00;0.5;1.0;0.0;
1713954335.407269;0;0.00;0.5;1.0;0.0;
1713954335.4238486;0;0.00;0.5;1.0;0.0;
1713954335.4388533;0;0.00;0.5;1.0;0.0;
1713954335.4547923;0;0.00;0.5;1.0;0.0;
1713954335.4708552;0;0.00;0.5;1.0;0.0;
1713954335.486065;0;0.00;0.5;1.0;0.0;
1713954335.5027068;0;0.00;0.5;1.0;0.0;
1713954335.5173998;0;0.00;0.5;1.0;0.0;
1713954335.5326357;0;0.00;0.5;1.0;0.0;
1713954335.5541883;0;0.00;0.5;0.0;0.0;
1713954335.5643315;0;11.10;0.5;0.0;0.0;
1713954335.579342;0;0.00;0.5;0.0;0.0;
1713954335.5944765;0;0.00;0.5;0.0;0.0;
1713954335.6101277;0;0.00;0.5;0.0;0.0;
1713954335.6266909;0;0.00;0.5;0.0;0.0;
1713954335.6417892;0;0.00;0.5;0.0;0.0;
1713954335.6561012;0;0.00;0.5;0.0;0.0;
1713954335.6714895;0;0.00;0.5;0.0;0.0;
1713954335.6875947;0;0.00;0.5;0.0;0.0;
1713954335.7032251;0;0.00;0.5;0.0;0.0;
1713954335.7193873;0;4.30;0.5;0.0;0.0;
1713954335.7345102;0;0.00;0.5;0.0;0.0;
1713954335.7495117;0;0.00;0.5;0.0;0.0;
1713954335.765179;0;0.00;0.5;0.0;0.0;
1713954335.7817357;0;0.00;0.5;0.0;0.0;
1713954335.7960303;0;0.00;0.5;0.0;0.0;
1713954335.811955;0;0.00;0.5;0.0;0.0;
1713954335.8275356;0;0.00;0.5;0.0;0.0;
1713954335.8437355;0;0.00;0.5;0.0;0.0;
1713954335.8579204;0;0.00;0.5;0.0;0.0;
1713954335.8739219;0;0.00;0.5;0.0;0.0;
1713954335.8901672;0;0.00;0.5;0.0;0.0;
1713954335.9053862;0;0.00;0.5;0.0;0.0;
1713954335.921951;0;0.00;0.5;0.0;0.0;
1713954335.936955;0;0.00;0.5;0.0;0.0;
1713954335.9523826;0;0.00;0.5;0.0;0.0;
1713954335.9679704;0;0.00;0.5;0.0;0.0;
1713954335.985846;0;0.00;0.5;0.0;0.0;
1713954335.999573;0;4.20;0.5;0.0;0.0;
1713954336.015201;0;0.00;0.5;0.0;0.0;
1713954336.031865;0;0.00;0.5;0.0;0.0;
1713954336.0479057;0;0.00;0.5;0.0;0.0;
1713954336.06303;0;0.00;0.5;0.0;0.0;
1713954336.0780303;0;4.20;0.5;0.0;0.0;
1713954336.093256;0;0.00;0.5;0.0;0.0;
1713954336.1098402;0;0.00;0.5;0.0;0.0;
1713954336.1251392;0;0.00;0.5;0.0;0.0;
1713954336.1410859;0;0.00;0.5;0.0;0.0;
1713954336.1558645;0;0.00;0.5;0.0;0.0;
1713954336.1713812;0;0.00;0.5;0.0;0.0;
1713954336.1865838;0;0.00;0.5;0.0;0.0;
1713954336.2028384;0;0.00;0.5;0.0;0.0;
1713954336.2173839;0;4.20;0.5;0.0;0.0;
1713954336.233393;0;0.00;0.5;0.0;0.0;
1713954336.250232;0;0.00;0.5;0.0;0.0;
1713954336.2656057;0;0.00;0.5;0.0;0.0;
1713954336.281458;0;0.00;0.5;0.0;0.0;
1713954336.297823;0;0.00;0.5;0.0;0.0;
1713954336.311478;0;0.00;0.5;0.0;0.0;
1713954336.3274298;0;2.40;0.5;0.0;0.0;
1713954336.346172;0;0.00;0.6;0.0;0.0;
1713954336.3590937;0;0.00;0.6;0.0;0.0;
1713954336.3757637;0;0.00;0.6;0.0;0.0;
1713954336.3907664;0;0.00;0.6;0.0;0.0;
1713954336.4062746;0;3.00;0.6;0.0;0.0;
1713954336.4232736;0;10.50;0.7;0.0;0.0;
1713954336.4392753;0;11.10;0.7;0.0;0.0;
1713954336.4542737;0;0.00;0.8;0.0;0.0;
1713954336.4702752;0;2.30;0.8;0.0;0.0;
1713954336.4862735;0;9.10;0.9;0.0;0.0;
1713954336.5032763;0;3.40;0.9;0.0;0.0;
1713954336.517453;0;3.10;0.9;0.0;0.0;
1713954336.5334527;0;6.20;0.9;0.0;0.0;
1713954336.5484529;0;3.10;0.9;0.0;0.0;
1713954336.5654528;0;5.30;0.9;0.0;0.0;
1713954336.5814528;0;5.90;0.9;0.0;0.0;
1713954336.596455;0;0.00;0.9;0.0;0.0;
1713954336.6118238;0;0.00;0.9;0.0;0.0;
1713954336.6288242;0;0.00;0.9;0.0;0.0;
1713954336.644824;0;0.00;0.9;0.0;0.0;
1713954336.660825;0;0.00;0.9;0.0;0.0;
1713954336.6768243;0;0.00;0.9;0.0;0.0;
1713954336.6918266;0;0.00;0.9;0.0;0.0;
1713954336.707332;0;0.00;0.9;0.0;0.0;
1713954336.7243328;0;0.00;0.9;0.0;0.0;
1713954336.7393327;0;0.00;0.9;0.0;0.0;
1713954336.7558506;0;0.00;0.9;1.0;0.0;
1713954336.7703831;0;0.00;0.9;1.0;0.0;
1713954336.7864313;0;0.00;0.9;1.0;0.0;
1713954336.803434;0;0.00;0.9;1.0;0.0;
1713954336.8175838;0;0.00;0.9;1.0;0.0;
1713954336.8335838;0;4.50;0.9;1.0;0.0;
1713954336.8505845;0;4.20;0.9;1.0;0.0;
1713954336.865584;0;0.00;0.9;1.0;0.0;
1713954336.8835855;0;4.00;0.9;1.0;0.0;
1713954336.8995867;0;12.90;0.9;1.0;0.0;
1713954336.9127035;0;0.00;0.9;1.0;0.0;
1713954336.9277036;0;5.60;0.9;1.0;0.0;
1713954336.9462888;0;0.00;0.9;0.0;0.0;
1713954336.9589329;0;4.00;0.9;0.0;0.0;
1713954336.9745634;0;0.00;0.9;0.0;0.0;
1713954336.9954057;0;3.20;0.9;0.0;0.0;
1713954337.0064933;0;0.00;0.9;0.0;0.0;
1713954337.0233443;0;4.80;0.9;0.0;0.0;
1713954337.0383484;0;4.20;0.9;0.0;0.0;
1713954337.0538733;0;0.00;0.9;0.0;0.0;
1713954337.0694063;0;4.20;0.9;0.0;0.0;
1713954337.0859497;0;0.00;0.9;0.0;0.0;
1713954337.1011333;0;4.00;0.9;0.0;0.0;
1713954337.1157115;0;4.50;0.9;0.0;0.0;
1713954337.1312196;0;0.00;0.9;0.0;0.0;
1713954337.1463819;0;4.80;0.9;1.0;0.0;
1713954337.1633892;0;0.00;0.9;1.0;0.0;
1713954337.177714;0;3.60;0.9;1.0;0.0;
1713954337.1937182;0;0.00;0.9;1.0;0.0;
1713954337.2092047;0;0.00;0.9;1.0;0.0;
1713954337.2318199;0;2.00;0.9;1.0;0.0;
1713954337.2414556;0;0.00;0.9;1.0;0.0;
1713954337.2563972;0;5.60;0.9;1.0;0.0;
1713954337.2734995;0;0.00;0.9;1.0;0.0;
1713954337.2894993;0;14.30;0.9;1.0;0.0;
1713954337.3051507;0;10.00;0.9;1.0;0.0;
1713954337.3205962;0;0.00;0.9;1.0;0.0;
1713954337.336287;0;4.80;0.9;1.0;0.0;
1713954337.3517501;0;0.00;0.9;0.0;0.0;
1713954337.3673294;0;0.00;0.9;0.0;0.0;
1713954337.3836408;0;0.00;0.9;0.0;0.0;
1713954337.3978446;0;0.00;0.9;0.0;0.0;
1713954337.413207;0;0.00;0.9;0.0;0.0;
1713954337.4303336;0;0.00;0.9;0.0;0.0;
1713954337.4457834;0;0.00;0.9;0.0;0.0;
1713954337.4613853;0;0.00;0.9;0.0;0.0;
1713954337.4758918;0;0.00;0.9;0.0;0.0;
1713954337.4913826;0;0.00;0.9;0.0;0.0;
1713954337.5070834;0;0.00;0.9;0.0;0.0;
1713954337.5298567;0;2.00;0.9;0.0;0.0;
1713954337.53808;0;0.00;0.9;0.0;0.0;
1713954337.5550857;0;0.00;0.9;0.0;0.0;
1713954337.5697424;0;0.00;0.9;0.0;0.0;
1713954337.5862856;0;0.00;0.9;0.0;0.0;
1713954337.6019485;0;0.00;0.9;0.0;0.0;
1713954337.6174269;0;0.00;0.9;0.0;0.0;
1713954337.6320872;0;0.00;0.9;0.0;0.0;
1713954337.6480877;0;0.00;0.9;0.0;0.0;
1713954337.6650872;0;0.00;0.9;0.0;0.0;
1713954337.6804;0;5.00;0.9;0.0;0.0;
1713954337.6964986;0;0.00;0.9;0.0;0.0;
1713954337.7123837;0;0.00;0.9;0.0;0.0;
1713954337.7267728;0;0.00;0.9;0.0;0.0;
1713954337.745778;0;0.00;0.9;0.0;0.0;
1713954337.758116;0;0.00;0.9;0.0;0.0;
1713954337.7736201;0;0.00;0.9;0.0;0.0;
1713954337.7895584;0;0.00;0.9;0.0;0.0;
1713954337.805233;0;0.00;0.9;0.0;0.0;
1713954337.821385;0;3.00;0.9;0.0;0.0;
1713954337.8359346;0;25.00;0.9;0.0;0.0;
1713954337.8511262;0;0.00;0.9;0.0;0.0;
1713954337.867207;0;0.00;0.9;0.0;0.0;
1713954337.8839996;0;0.00;0.9;0.0;0.0;
1713954337.8982034;0;0.00;0.9;0.0;0.0;
1713954337.9142044;0;0.00;0.9;0.0;0.0;
1713954337.9294813;0;0.00;0.9;0.0;0.0;
1713954337.945488;0;0.00;0.9;0.0;0.0;
1713954337.962001;0;0.00;0.9;0.0;0.0;
1713954337.9769466;0;0.00;0.9;0.0;0.0;
1713954337.9939497;0;3.80;0.9;0.0;0.0;
1713954338.008452;0;4.00;0.9;0.0;0.0;
