Timestamp;FPS;CPU;RAM;GPU;VRAM;Running Models
1713727947.4091573;0;0.00;1.5;64.0;0.0;
1713727947.4243715;0;4.00;1.5;64.0;0.0;
1713727947.4396644;0;0.00;1.5;64.0;0.0;
1713727947.4554837;0;14.30;1.5;64.0;0.0;
1713727947.4739957;0;0.00;1.5;36.0;0.0;
1713727947.4866643;0;4.50;1.5;36.0;0.0;
1713727947.5019016;0;4.50;1.5;36.0;0.0;
1713727947.5171585;0;9.10;1.5;36.0;0.0;
1713727947.533673;0;0.00;1.5;36.0;0.0;
1713727947.5480456;0;0.00;1.5;36.0;0.0;
1713727947.564067;0;0.00;1.5;36.0;0.0;
1713727947.579766;0;2.90;1.5;36.0;0.0;
1713727947.595415;0;0.00;1.5;36.0;0.0;
1713727947.6119676;0;0.00;1.5;36.0;0.0;
1713727947.626968;0;3.60;1.5;36.0;0.0;
1713727947.6427636;0;0.00;1.5;36.0;0.0;
1713727947.6580882;0;0.00;1.5;36.0;0.0;
1713727947.6748536;0;0.00;1.5;1.0;0.0;
1713727947.6896408;0;14.30;1.5;1.0;0.0;
1713727947.704021;0;0.00;1.5;1.0;0.0;
1713727947.7198555;0;0.00;1.5;1.0;0.0;
1713727947.734868;0;0.00;1.5;1.0;0.0;
1713727947.7513957;0;4.30;1.5;1.0;0.0;
1713727947.7673466;0;3.70;1.5;1.0;0.0;
1713727947.7824545;0;4.20;1.5;1.0;0.0;
1713727947.7980485;0;4.00;1.5;1.0;0.0;
1713727947.8135738;0;0.00;1.5;1.0;0.0;
1713727947.8310905;0;2.70;1.5;1.0;0.0;
1713727947.8461068;0;4.00;1.5;1.0;0.0;
1713727947.8621356;0;0.00;1.5;1.0;0.0;
1713727947.8773916;0;2.30;1.5;0.0;0.0;
1713727947.8934224;0;0.00;1.5;0.0;0.0;
1713727947.910065;0;3.80;1.5;0.0;0.0;
1713727947.9250898;0;0.00;1.5;0.0;0.0;
1713727947.9415913;0;0.00;1.5;0.0;0.0;
1713727947.956603;0;23.10;1.5;0.0;0.0;
1713727947.971624;0;26.90;1.5;0.0;0.0;
1713727947.988039;0;9.10;1.5;0.0;0.0;
1713727948.002638;0;4.30;1.5;0.0;0.0;
1713727948.019621;0;2.40;1.5;0.0;0.0;
1713727948.0351589;0;32.10;1.5;0.0;0.0;
1713727948.05121;0;10.50;1.5;0.0;0.0;
1713727948.0667348;0;3.60;1.5;0.0;0.0;
1713727948.0818737;0;0.00;1.5;1.0;0.0;
1713727948.097401;0;0.00;1.6;1.0;0.0;
1713727948.11304;0;8.00;1.7;1.0;0.0;
1713727948.129629;0;6.50;1.8;1.0;0.0;
1713727948.1456563;0;0.00;1.7;1.0;0.0;
1713727948.1601844;0;6.70;1.5;1.0;0.0;
1713727948.1753983;0;6.20;1.5;1.0;0.0;
1713727948.1919787;0;0.00;1.5;1.0;0.0;
1713727948.2070868;0;0.00;1.5;1.0;0.0;
1713727948.2226584;0;0.00;1.5;1.0;0.0;
1713727948.2382755;0;0.00;1.5;1.0;0.0;
1713727948.254796;0;0.00;1.5;1.0;0.0;
1713727948.27462;0;4.80;1.5;0.0;0.0;
1713727948.2851017;0;0.00;1.5;0.0;0.0;
1713727948.3016555;0;0.00;1.5;0.0;0.1;
