FPS;CPU;RAM;GPU;VRAM;Running Models
3.154652723131377;17.00;3.2;41.0;0.1;Yolo V8
3.3100941881704298;17.00;3.2;41.0;0.1;Yolo V8
3.19344744174646;11.25;3.2;40.5;0.1;Yolo V8
3.2016927550300425;11.55;3.2;37.25;0.1;
3.21525629168507;15.30;3.2;34.0;0.1;Yolo V8
3.2615716894241737;15.30;3.2;34.0;0.1;Yolo V8
3.2417015185927767;9.03;3.2;32.0;0.1;Yolo V8
3.224603351198363;8.75;3.2;31.25;0.1;
3.232392328561339;14.85;3.2;32.25;0.1;Yolo V8
3.237525175280133;14.85;3.2;32.25;0.1;Yolo V8
3.241350433623862;11.45;3.2;34.0;0.1;Yolo V8
3.236295119673784;11.43;3.2;34.5;0.1;
3.2349435199440357;17.43;3.2;35.25;0.1;Yolo V8
3.1628369192301355;17.43;3.2;35.25;0.1;Yolo V8
3.2195019119519785;11.38;3.2;37.25;0.1;Yolo V8
3.2149960961199398;11.40;3.2;38.5;0.1;
3.2084075117439594;16.77;3.2;34.0;0.1;Yolo V8
3.283029302879108;16.77;3.2;34.0;0.1;Yolo V8
3.2200910575452903;11.05;3.2;33.75;0.1;Yolo V8
3.234404592124079;10.70;3.2;31.25;0.1;
3.238130262167104;16.17;3.2;28.75;0.1;Yolo V8
3.2384225204764636;16.17;3.2;28.75;0.1;Yolo V8
3.2439868682562354;10.70;3.2;33.25;0.1;Yolo V8
3.2342262596005176;10.80;3.2;33.5;0.1;
3.237760060114324;16.40;3.2;34.75;0.1;Yolo V8
3.303126189276904;16.40;3.2;34.75;0.1;Yolo V8
3.25494045940253;11.08;3.2;36.75;0.1;Yolo V8
3.2590699441340467;10.68;3.2;37.5;0.1;
3.2628407131034995;15.62;3.2;38.25;0.1;Yolo V8
3.2502848500857575;15.62;3.2;38.25;0.1;Yolo V8
3.266855360724809;10.35;3.2;38.5;0.1;Yolo V8
3.257787653586786;10.33;3.2;35.75;0.1;
3.25849945213285;13.93;3.2;33.0;0.1;Yolo V8
3.2023276669475265;13.93;3.2;33.0;0.1;Yolo V8
3.2443138828362197;8.83;3.2;32.25;0.1;Yolo V8
3.2428211410238355;8.78;3.2;32.0;0.1;
3.236812586098592;14.85;3.2;34.0;0.1;Yolo V8
3.2221813728425066;14.85;3.2;34.0;0.1;Yolo V8
3.2279110159125217;11.82;3.2;37.25;0.1;Yolo V8
3.234306853153771;11.28;3.2;38.5;0.1;
3.2318050957331588;16.93;3.2;39.75;0.1;Yolo V8
3.1834454621866417;16.93;3.2;39.75;0.1;Yolo V8
3.2169611760238603;10.92;3.2;40.75;0.1;Yolo V8
3.2156561268191983;10.85;3.2;40.5;0.1;
3.212592404545868;16.93;3.2;37.25;0.1;Yolo V8
3.157871737562579;16.93;3.2;37.25;0.1;Yolo V8
3.19348362564807;11.25;3.2;36.0;0.1;Yolo V8
3.1959931665134267;11.05;3.2;35.0;0.1;
3.190751164135819;14.22;3.2;34.0;0.1;Yolo V8
3.246208126198811;14.22;3.2;34.0;0.1;Yolo V8
3.1983891639807216;8.65;3.2;37.0;0.1;Yolo V8
3.2085185205852573;8.57;3.2;38.0;0.1;
3.212277244319554;12.30;3.2;39.0;0.1;Yolo V8
3.1697261936310968;12.30;3.2;39.0;0.1;Yolo V8
3.205710501098972;9.43;3.2;40.25;0.1;Yolo V8
3.195586094824012;9.45;3.2;40.5;0.1;
3.1948853275348346;15.42;3.2;35.5;0.1;Yolo V8
3.214587355088865;15.42;3.2;35.5;0.1;Yolo V8
3.196402536160736;11.85;3.2;34.75;0.1;Yolo V8
3.2030716217931463;11.22;3.2;33.0;0.1;
3.20241190196669;16.10;3.2;31.25;0.1;Yolo V8
3.304595393156286;16.10;3.2;31.25;0.1;Yolo V8
3.229664226549758;10.40;3.2;35.75;0.1;Yolo V8
3.233433444414982;10.20;3.2;36.0;0.1;
3.242691171478543;15.15;3.2;37.0;0.1;Yolo V8
3.225427453478856;15.15;3.2;37.0;0.1;Yolo V8
3.2482801293999706;10.42;3.2;39.5;0.1;Yolo V8
3.234201313460892;9.78;3.2;41.0;0.1;
3.235335585188675;14.48;3.2;35.0;0.1;Yolo V8
3.301506993007444;14.48;3.2;35.0;0.1;Yolo V8
3.252353972336791;9.85;3.2;34.0;0.1;Yolo V8
3.2590856020512744;9.80;3.2;31.0;0.1;
3.261786970214101;15.82;3.2;28.0;0.1;Yolo V8
3.3012469189265348;15.82;3.2;28.0;0.1;Yolo V8
3.278548371580511;11.70;3.2;33.0;0.1;Yolo V8
3.272808716223778;11.20;3.2;33.0;0.1;
3.2779224021955247;15.60;3.2;33.5;0.1;Yolo V8
3.3582087609991;15.60;3.2;33.5;0.1;Yolo V8
3.3027031919324807;10.03;3.2;35.0;0.1;Yolo V8
3.3030672601839672;9.50;3.2;36.0;0.1;
3.3091969823348317;13.43;3.2;37.0;0.1;Yolo V8
3.128073664734779;13.43;3.2;37.0;0.1;Yolo V8
3.273013219462582;8.92;3.2;37.5;0.1;Yolo V8
3.2517143340784522;8.65;3.2;37.0;0.1;
3.2389671196149448;13.05;3.2;34.0;0.1;Yolo V8
3.142936453512002;13.05;3.2;34.0;0.1;Yolo V8
3.198934417946954;9.65;3.2;33.25;0.1;Yolo V8
3.216649606249997;9.60;3.2;33.0;0.1;
3.2025587029468516;14.98;3.2;32.75;0.1;Yolo V8
3.1714283432680497;14.98;3.2;32.75;0.1;Yolo V8
3.1824872052442505;11.05;3.2;37.25;0.1;Yolo V8
3.1923748931773126;10.88;3.2;39.5;0.1;
3.1907350119849025;16.05;3.2;41.75;0.1;Yolo V8
3.138028043160965;16.05;3.2;41.75;0.1;Yolo V8
3.1710796212126446;10.82;3.2;41.75;0.1;Yolo V8
3.170992440698793;9.97;3.2;38.75;0.1;
3.168118749562429;16.88;3.2;35.75;0.1;Fast SAM
2.057821897918014;16.88;3.2;35.75;0.1;Fast SAM
2.884480500747604;12.25;3.2;42.75;0.1;Fast SAM
2.821093615144264;12.35;3.2;36.75;0.1;
2.7335971136271686;18.17;3.3;31.5;0.1;Fast SAM
2.2188079845936133;18.17;3.3;31.5;0.1;Fast SAM
2.495550999600874;12.20;3.2;38.25;0.2;Fast SAM
2.6049832750215884;11.38;3.2;35.0;0.1;
2.5351089685900847;16.98;3.3;35.0;0.1;Fast SAM
2.237097378679751;16.98;3.3;35.0;0.1;Fast SAM
2.3891099094739565;12.40;3.2;42.25;0.2;Fast SAM
2.4316853906940423;11.50;3.2;37.5;0.1;
2.4157189884673347;17.38;3.3;32.75;0.1;Fast SAM
2.2553182456575205;17.38;3.3;32.75;0.1;Fast SAM
2.3283027311263176;12.52;3.2;45.5;0.2;Fast SAM
2.3511040692379592;11.38;3.2;51.0;0.1;
2.3416026091789597;16.45;3.3;43.75;0.1;Fast SAM
2.2705330914695083;16.45;3.3;43.75;0.1;Fast SAM
2.301314534372826;11.52;3.2;44.25;0.2;Fast SAM
2.3128136065516527;10.45;3.2;37.75;0.1;
2.3089413254079867;16.70;3.3;31.25;0.1;Fast SAM
2.243426727718799;16.70;3.3;31.25;0.1;Fast SAM
2.2820219900281966;12.40;3.2;43.75;0.2;Fast SAM
2.2848942146678684;11.52;3.2;48.5;0.1;
2.2807891347416294;18.15;3.3;42.25;0.1;Fast SAM
2.2595162764745016;18.15;3.3;42.25;0.1;Fast SAM
2.2674648022223414;12.90;3.2;43.5;0.2;Fast SAM
2.2734743208482273;11.67;3.2;38.5;0.1;
2.2713374035532348;17.52;3.3;33.5;0.1;Fast SAM
2.3016396434292234;17.52;3.3;33.5;0.1;Fast SAM
2.2755237607435737;12.03;3.2;45.0;0.2;Fast SAM
2.2795256318108414;11.02;3.2;49.0;0.1;
2.2825408392079662;16.77;3.3;41.75;0.1;Fast SAM
2.270848522330699;16.77;3.3;41.75;0.1;Fast SAM
2.2818843895785843;11.75;3.2;42.25;0.2;Fast SAM
2.2769455761159247;10.65;3.2;37.25;0.1;
2.277301029959012;17.35;3.3;32.25;0.1;Fast SAM
2.294854304873778;17.35;3.3;32.25;0.1;Fast SAM
2.2811331982247465;13.10;3.2;44.5;0.2;Fast SAM
2.2837043671982586;12.60;3.2;49.0;0.1;
2.284159361603177;19.18;3.3;42.75;0.1;Fast SAM
2.2315930583658075;19.18;3.3;42.75;0.1;Fast SAM
2.2728212321656476;13.70;3.2;44.0;0.2;Fast SAM
2.267312963988615;12.62;3.2;38.5;0.1;
2.263857905429582;17.93;3.3;33.0;0.1;Fast SAM
2.2723334566822526;17.93;3.3;33.0;0.1;Fast SAM
2.261015177800581;12.30;3.2;45.0;0.2;Fast SAM
2.2683707076592743;10.92;3.2;49.5;0.1;
2.2672580765326806;16.23;3.3;42.5;0.1;Fast SAM
2.3124811680225297;16.23;3.3;42.5;0.1;Fast SAM
2.2785501275411595;11.45;3.2;43.25;0.2;Fast SAM
2.280104295255886;10.60;3.2;37.0;0.1;
